Selection;Block;Population;AP;Cage;Matings;Courts
Cg-PT;1;Cg-PT1;PT1;Cg1A;11;33
Cg-PT;1;Cg-PT1;PT1;Cg1B;8;30
Cg-PT;2;Cg-PT2;PT2;Cg2A;11;24
Cg-PT;2;Cg-PT2;PT2;Cg2B;9;33
Cg-PT;3;Cg-PT3;PT3;Cg3A;10;25
Cg-PT;3;Cg-PT3;PT3;Cg3B;9;33
PT;1;PT1;PT1;PT1A;8;21
PT;1;PT1;PT1;PT1B;9;40
PT;2;PT2;PT2;PT2A;10;33
PT;2;PT2;PT2;PT2B;11;41
PT;3;PT3;PT3;PT3A;10;29
PT;3;PT3;PT3;PT3B;9;32
